latitude,longitude,no2_column,qa_value
51.301346,-2.40859,5.1294573e-05,1.0
51.31568,-2.3539066,4.060046e-05,1.0
51.329914,-2.2993708,3.265038e-05,1.0
51.305172,-2.6008234,4.576676e-05,1.0
51.31984,-2.5456274,3.7174414e-05,1.0
51.3344,-2.4905884,3.673349e-05,1.0
51.34885,-2.4357038,4.023879e-05,1.0
51.30792,-2.7948475,1.8074534e-05,1.0
51.322933,-2.7391083,4.1035946e-05,1.0
51.337837,-2.6835365,3.877541e-05,1.0
51.352627,-2.628129,3.7597176e-05,1.0
51.367306,-2.5728824,4.0264225e-05,1.0
51.381874,-2.5177932,5.1268024e-05,1.0
51.410698,-2.4080741,3.9496754e-05,1.0
51.370365,-2.7665238,4.6090827e-05,1.0
51.385277,-2.7109015,3.150881e-05,1.0
51.400078,-2.6554434,5.2722084e-05,1.0
51.41477,-2.6001463,2.5814197e-05,1.0
51.42935,-2.5450068,3.314716e-05,1.0
51.443825,-2.4900215,6.1198734e-05,1.0
51.45819,-2.435187,4.4013534e-05,1.0
51.472458,-2.3805006,3.9090886e-05,1.0
51.486618,-2.3259587,2.811311e-05,1.0
51.417805,-2.7939675,2.8167839e-05,1.0
51.432728,-2.7382948,3.564076e-05,1.0
51.44754,-2.6827862,5.0180937e-05,1.0
51.462242,-2.6274385,5.0149014e-05,1.0
51.5057,-2.4623277,4.846171e-05,1.0
51.519974,-2.4075909,4.2923843e-05,1.0
51.534145,-2.3529985,2.6577974e-05,1.0
51.548214,-2.298548,3.0419775e-05,1.0
51.480194,-2.7657604,2.7522026e-05,1.0
51.495014,-2.710201,3.270078e-05,1.0
51.509727,-2.6548026,4.1721196e-05,1.0
51.52433,-2.599562,7.4021766e-05,1.0
51.538826,-2.5444753,6.8570866e-05,1.0
51.553215,-2.4895399,4.1294767e-05,1.0
51.5675,-2.4347525,3.3696866e-05,1.0
51.581684,-2.3801098,3.8461545e-05,1.0
51.595764,-2.3256085,4.627834e-05,1.0
51.609745,-2.2712457,4.2643125e-05,1.0
51.527615,-2.7933257,5.4473003e-05,1.0
51.54245,-2.7377152,3.7364527e-05,1.0
51.557175,-2.682266,3.3500688e-05,1.0
51.57179,-2.6269743,4.2942855e-05,1.0
51.586296,-2.571837,4.309612e-05,1.0
51.600697,-2.516851,3.3317043e-05,1.0
51.61499,-2.4620125,3.5103636e-05,1.0
51.629185,-2.407319,3.9385366e-05,1.0
51.643276,-2.3527672,5.0451614e-05,1.0
51.657265,-2.298354,3.7246897e-05,1.0
51.671158,-2.244076,3.8789658e-05,1.0
51.589897,-2.7652476,2.2953176e-05,1.0
51.648186,-2.5441794,1.1627376e-05,1.0
51.662495,-2.4892905,4.2696913e-05,1.0
51.676697,-2.4345462,3.5239118e-05,1.0
51.6908,-2.3799438,4.155149e-05,1.0
